"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R3","0603","33.2mm","-85.95mm","33.2mm","-85.95mm","33.2mm","-85.2515mm","T","270.00","470R"
"R18","0603","0.1mm","-49.85mm","0.1mm","-49.85mm","0.7985mm","-49.85mm","B","180.00","0R"
"R21","0603","-3.55mm","-13.1mm","-3.55mm","-13.1mm","-4.2485mm","-13.1mm","T","360.00","330R"
"RA1","RA_1206","-8.05mm","-31.7mm","-9.25mm","-31.05mm","-9.25mm","-31.05mm","B","270.00","22R"
"C11","0603","-10.1092mm","0.9039mm","-10.1092mm","0.9039mm","-10.1092mm","1.6024mm","B","270.00","100n"
"C14","0603","-5.15mm","-9.35mm","-5.15mm","-9.35mm","-5.15mm","-10.0485mm","B","90.00","100n"
"C16","0402","-2.8194mm","-2.8mm","-2.8194mm","-2.8mm","-2.3394mm","-2.8mm","B","180.00","100n"
"C17","0402","-2.8194mm","-1.905mm","-2.8194mm","-1.905mm","-2.3394mm","-1.905mm","B","180.00","100n"
"C79","0402","-2.75mm","-5.3mm","-2.75mm","-5.3mm","-2.27mm","-5.3mm","B","180.00","100n"
"C80","0402","-0.7mm","-8.45mm","-0.7mm","-8.45mm","-0.22mm","-8.45mm","B","180.00","100n"
"C81","0402","-0.7mm","-7.4mm","-0.7mm","-7.4mm","-0.22mm","-7.4mm","B","180.00","100n"
"C82","0603","15.0529mm","-24.85mm","15.0529mm","-24.85mm","14.3544mm","-24.85mm","T","360.00","100n"
"C83","0603","26.8514mm","-29.85mm","26.8514mm","-29.85mm","27.5499mm","-29.85mm","T","180.00","100n"
"C84","0402","15.0876mm","-33.1724mm","15.0876mm","-33.1724mm","15.0876mm","-33.6524mm","T","90.00","100n"
"C85","0402","14.1567mm","-33.1724mm","14.1567mm","-33.1724mm","14.1567mm","-33.6524mm","T","90.00","100n"
"C86","0402","19.8514mm","-33.145mm","19.8514mm","-33.145mm","19.8514mm","-33.625mm","T","90.00","100n"
"C87","0402","18.9014mm","-33.145mm","18.9014mm","-33.145mm","18.9014mm","-33.625mm","T","90.00","100n"
"C88","0402","24.9514mm","-33.045mm","24.9514mm","-33.045mm","24.9514mm","-33.525mm","T","90.00","100n"
"C89","0402","23.9014mm","-33.045mm","23.9014mm","-33.045mm","23.9014mm","-33.525mm","T","90.00","100n"
"C91","0402","28.7514mm","-33mm","28.7514mm","-33mm","28.7514mm","-33.48mm","T","90.00","100n"
"C92","0603","-19.25mm","-8.75mm","-19.25mm","-8.75mm","-19.9485mm","-8.75mm","T","360.00","1u"
"D1","SOD-323","-19.35mm","-10.65mm","-19.35mm","-10.65mm","-20.405mm","-10.65mm","T","270.00","1N4148WS"
"IC2","QFN-32","-9.1mm","-4.05mm","-9.1mm","-4.05mm","-7.35mm","-6.525mm","B","90.00","PTN3363BSMP"
"IC8","SON-15","-17.35mm","-3.8mm","-17.35mm","-3.8mm","-16.425mm","-6.55mm","T","270.00","TPD8S009"
"L1","0603","-19.5834mm","-12.6492mm","-19.5834mm","-12.6492mm","-18.7684mm","-12.6492mm","T","180.00","BLM18SG121TN1D"
"R4","0402","-6.4896mm","0.6246mm","-6.4896mm","0.6246mm","-6.4896mm","0.1446mm","B","90.00","10k"
"R5","0402","-7.6785mm","0.6246mm","-7.6785mm","0.6246mm","-7.6785mm","0.1446mm","B","90.00","10k"
"R62","0603","-10.9mm","-9.45mm","-10.9mm","-9.45mm","-10.9mm","-10.1485mm","B","90.00","12k4"
"R63","0402","15.5014mm","-28.05mm","15.5014mm","-28.05mm","15.9814mm","-28.05mm","T","180.00","10k"
"R64","0402","15.5014mm","-26.85mm","15.5014mm","-26.85mm","15.9814mm","-26.85mm","T","180.00","10k"
"R65","0402","14.732mm","-23.55mm","14.732mm","-23.55mm","15.212mm","-23.55mm","T","180.00","10k"
"R66","0603","26.5684mm","-25.3942mm","26.5684mm","-25.3942mm","27.2669mm","-25.3942mm","T","180.00","12k4"
"L3","DLW21SN900SQ2","-7.8232mm","-44.4246mm","-7.8232mm","-44.4246mm","-7.4232mm","-45.3246mm","B","90.00","DLW21SN900SQ2"
"D4","TPD6E05U06_PASS","-12.507mm","-37.9984mm","-12.507mm","-37.9984mm","-13.132mm","-38.4984mm","T","90.00","TPD6E05U06"
"L5","DLW21SN900SQ2","-5.824mm","-44.431mm","-5.824mm","-44.431mm","-6.224mm","-45.331mm","T","90.00","DLW21SN900SQ2"
"L4","DLW21SN900SQ2","-9.824mm","-44.431mm","-9.824mm","-44.431mm","-9.424mm","-43.531mm","T","270.00","DLW21SN900SQ2"
"C34","0402","-2.8mm","-6.3mm","-2.8mm","-6.3mm","-2.32mm","-6.3mm","B","180.00","100n"
"L7","0603","-25.8064mm","4.4196mm","-25.8064mm","4.4196mm","-26.6214mm","4.4196mm","T","360.00","BLM18SG121TN1D"
"R22","0402","-11.5316mm","0.6739mm","-11.5316mm","0.6739mm","-11.5316mm","0.1939mm","B","90.00","10k"
"R10","0402","15.5537mm","-33.655mm","15.5537mm","-33.655mm","15.0737mm","-33.655mm","T","360.00","0R"
"R11","0402","17.68mm","-20mm","17.68mm","-20mm","17.68mm","-19.52mm","T","270.00","0R"
"R14","0402","13.6741mm","-33.655mm","13.6741mm","-33.655mm","14.1541mm","-33.655mm","T","180.00","0R"
"R15","0402","16.3014mm","-20mm","16.3014mm","-20mm","16.3014mm","-19.52mm","T","270.00","0R"
"R67","0402","20.3014mm","-33.6mm","20.3014mm","-33.6mm","19.8214mm","-33.6mm","T","360.00","0R"
